rank,content_id,priority_score,decline_probability,business_value_score,archetype,recommended_action,reason_codes,content_type,main_intent,days_since_last_update,impressions_90d,clicks_90d,ctr,engagement_rate
32,content_34b33e6b67e1,0.5232392516163105,0.7468733335662471,0.001426393733125471,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,129,0,0.0,0.0
33,content_24c504b57001,0.523083014256916,0.7466317598449546,0.0014692745514923683,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,203,0,0.0,0.0
34,content_696f7cd298e3,0.523060772688876,0.7461367083128139,0.0025502562330208655,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,89,1375,4,0.29,0.0
35,content_df1e8cee858c,0.5230407101335026,0.7437471465633109,0.0080590251306168,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale,keyword article,commercial,106,9188,8,0.09,0.0
36,content_554675403de2,0.5230400699974599,0.7468981682150693,0.0007045074897047225,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,89,370,2,0.54,0.0
37,content_1c5b4e73b153,0.5228266797137319,0.7461321890344639,0.0017804912986906635,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,89,150,1,0.67,0.0
38,content_ea8a83a2510c,0.5228029670492786,0.7467783440826191,0.00019375397148434407,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,2,0,0.0,0.0
39,content_a6b8c4fb779b,0.5228004260761225,0.7467613035175401,0.00022504537948180985,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,88,56,0,0.0,0.0
40,content_bf212b1edf1a,0.5226530747888262,0.7450280652548428,0.0037780970347872926,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,187,0,0.0,0.0
41,content_e906960b0d12,0.522193385202781,0.7459020492941626,0.00020650232289071903,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,24,0,0.0,0.0
42,content_2f51ca262e66,0.5216809178572346,0.7450066100431254,0.0005876360901562197,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,15,0,0.0,0.0
43,content_0ea80678706d,0.5212757781668778,0.7444840552663968,0.00045646493466680723,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,106,122,0,0.0,0.0
44,content_ab87b527fbea,0.5208744255225796,0.7433279423644703,0.0018162195581680452,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,135,0,0.0,0.0
45,content_38bab00f71e2,0.5208364112821355,0.7440515194283207,1.158941036943177e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,3,0,0.0,0.0
46,content_3d758391f2d4,0.5208083668975749,0.7433200871396393,0.001614352999425099,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,120,0,0.0,0.0
47,content_336505277c39,0.5204044634763725,0.7433521587515468,0.0001931745009658725,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,1,0,0.0,0.0
48,content_48cecb04b88e,0.5200992253757709,0.7429897046471655,2.1440409183448776e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,38,0,0.0,0.0
49,content_3d6236696109,0.5200463845786492,0.7427275303672766,0.0004570444051852788,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,123,0,0.0,0.0
50,content_083bac35aa08,0.5200206668853714,0.7408945418302466,0.0046482920139958375,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale,keyword article,informational,89,1432,1,0.07,0.0
51,content_201a4a56f4d6,0.5199669949074068,0.7427269553085165,0.00019375397148434407,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,2,0,0.0,0.0
52,content_66e131a41173,0.5197632433427788,0.7425179256830808,2.317882073886354e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,5,0,0.0,0.0
53,content_9903cd8c08ee,0.5196746951137995,0.74197723450939,0.0009687698574217204,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,6,0,0.0,0.0
54,content_da3f2c1bef3f,0.5193549398428643,0.741848617418472,0.0002030254997798895,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,18,0,0.0,0.0
55,content_e31bcb95fda5,0.51928397618822,0.741747489113488,0.00020244602926141792,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,17,0,0.0,0.0
56,content_1505ce3bb377,0.5185965445480907,0.74076941742543,0.0001931745009658725,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,1,0,0.0,0.0
57,content_5c7a9bd6cbfe,0.5184766240350523,0.740678656378075,5.215234666244297e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,10,0,0.0,0.0
58,content_24b8d8860ad9,0.5182322873124008,0.739992735706092,0.0007912410604545808,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,33,0,0.0,0.0
59,content_5eabfc22996f,0.5182061237659144,0.7400339264263195,0.0006079175583027254,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,104,50,0,0.0,0.0
60,content_83100747c9cb,0.5177725423138761,0.7396745637593787,1.158941036943177e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,3,0,0.0,0.0
61,content_082eb79ae608,0.5177432157542907,0.7396329170187645,5.794705184715885e-07,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,2,0,0.0,0.0
62,content_c5f79bf532f3,0.5175010345849884,0.7392799902735396,1.6804645035676067e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,30,0,0.0,0.0
63,content_4688b93476a1,0.5174897795053138,0.7391875794736535,0.00019491291252128726,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,104,4,0,0.0,0.0
64,content_453722754fea,0.5174873013475799,0.7028804191825684,0.08490335973260695,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | below_typical_ctr,keyword article,informational,20,140079,16,0.01,0.0
65,content_58c4b92b92aa,0.5169576319193286,0.7384278653255477,0.00019375397148434407,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,2,0,0.0,0.0
66,content_45b7ba1087e0,0.5165534438637096,0.7379320011668233,3.4768231108295312e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,7,0,0.0,0.0
67,content_f5bea636bfbb,0.5165333478961046,0.7379040376751972,1.7384115554147656e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,4,0,0.0,0.0
68,content_7947d714b3b3,0.5164342395094438,0.7367682630776589,0.0023215178502752707,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,1007,0,0.0,0.0
69,content_33ddda1a8c7a,0.5163148503153264,0.7375859380058956,1.5645703998732892e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,89,28,0,0.0,0.0
70,content_dc0eaf635a88,0.5162198498758496,0.7371235370061296,0.0007779132385297342,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,10,0,0.0,0.0
71,content_611615ca6d4a,0.5155971315083662,0.7364835482763632,0.00019549238303975884,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,5,0,0.0,0.0
72,content_f26254fad8aa,0.5155024627684287,0.7357788981981415,0.0015241134324323357,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,631,0,0.0,14.29
73,content_1b7188b37ffc,0.5148171072360641,0.7354463050355208,1.5645703998732892e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,28,0,0.0,0.0
74,content_e3a34c1706cf,0.5137383367225853,0.7339116612591853,5.794705184715885e-07,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,transactional,104,2,0,0.0,0.0
75,content_08680a075d9f,0.5135121324315192,0.7335790751806472,2.259935022039195e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,40,0,0.0,0.0
76,content_0628102f4044,0.5132217792608661,0.7321870641257282,0.0023027812428544447,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,89,1538,3,0.2,0.0
77,content_cbffee46b629,0.5131530455968606,0.7320081964224582,0.0024910270037996067,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,106,3043,1,0.03,0.0
78,content_9b28cf5ae4f3,0.5130336770043477,0.7320254859528055,0.002052789457946281,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,transactional,106,1620,1,0.06,0.0
79,content_09227e80fef5,0.5125895828233231,0.732175626307509,0.00022214802688945193,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,51,0,0.0,0.0
80,content_5020ecbfa404,0.5123902494738699,0.7319830905428619,6.9536462216590624e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,13,0,0.0,0.0
81,content_881635edbf8b,0.5118100347431687,0.7311534673226221,8.692057777073828e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,16,0,0.0,0.0
82,content_31c4d526956d,0.5112193241339076,0.7299385331184687,0.0008745031699317314,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,89,330,2,0.61,0.0
83,content_da708a6f57ff,0.5111749876510397,0.7302390552002799,2.5496702812749897e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,45,0,0.0,0.0
84,content_39881853ef0c,0.5110272119337457,0.699161144190719,0.07204803666747471,high_risk_high_value,Priority human review,elevated_decline_risk | high_value_page | below_typical_ctr,keyword article,informational,20,112434,10,0.01,3.45
85,content_a0e0cffaef37,0.5108668560021796,0.7298085525662885,2.8973525923579425e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,6,0,0.0,0.0
86,content_452a4e18212c,0.5107381056271668,0.7287569577863716,0.0020274505890223358,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,106,2243,1,0.04,0.0
87,content_a860ee9e7ae4,0.5107175960533478,0.7295137767186544,0.0001931745009658725,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,transactional,104,1,0,0.0,0.0
88,content_0ae004d4a60f,0.5101872504812021,0.7287521666748908,0.00020244602926141792,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,17,0,0.0,0.0
89,content_97ec8ce69833,0.5098712556763411,0.7283034773146766,0.00019607185355823044,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,6,0,0.0,0.0
90,content_dcd38075ec2c,0.5096616396184375,0.7280047708369094,0.00019433344200281568,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,transactional,104,3,0,0.0,0.0
91,content_fc48c1737c57,0.5095788459446485,0.7278859974710523,0.00019549238303975884,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,5,0,0.0,0.0
92,content_9066e7c9a8ba,0.5093890979905544,0.7270849163700877,0.0014321884383101868,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,89,139,0,0.0,0.0
93,content_474bc8a4a3cb,0.5092731136302021,0.7275325227827015,1.158941036943177e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,3,0,0.0,0.0
94,content_1980254ef582,0.5091268061194769,0.7268988878800411,0.000991948678160584,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,46,0,0.0,0.0
95,content_5773c94c67f5,0.5089938655080154,0.7265670151154087,0.0013231830907645223,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,89,1361,1,0.07,0.0
96,content_f1303b831387,0.5079319697702248,0.7256131261596231,9.271528295545415e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,17,0,0.0,0.0
97,content_73c54f78c06a,0.5075977574560513,0.6490309943169009,0.17758687144740232,high_risk_high_value,Priority human review,elevated_decline_risk | high_value_page,keyword article,informational,20,213963,211,0.1,0.86
98,content_94feac677ec4,0.5071776556155125,0.7236677432761901,0.0020341177405984612,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,106,741,3,0.4,14.29
99,content_e3de4ddde194,0.5069418112266686,0.7240295589877469,0.00040373311748589263,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,89,31,0,0.0,0.0
100,content_41eb625c4aca,0.5065613143251142,0.7224030338522801,0.002930635428393991,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,89,468,1,0.21,0.0
